Wed Oct 28 02:19:41 2020 Epoch 0, lr: 0.0001000, val loss: 149.25757, acc: 45.81000
Wed Oct 28 02:20:50 2020 Epoch 1, lr: 0.0001000, val loss: 130.75906, acc: 52.83000
Wed Oct 28 02:21:58 2020 Epoch 2, lr: 0.0001000, val loss: 119.69856, acc: 57.07000
Wed Oct 28 02:23:07 2020 Epoch 3, lr: 0.0001000, val loss: 114.19812, acc: 59.59000
Wed Oct 28 02:24:16 2020 Epoch 4, lr: 0.0001000, val loss: 108.78305, acc: 60.96000
Wed Oct 28 02:25:25 2020 Epoch 5, lr: 0.0001000, val loss: 102.78246, acc: 62.86000
Wed Oct 28 02:26:33 2020 Epoch 6, lr: 0.0001000, val loss: 101.42338, acc: 63.98000
Wed Oct 28 02:27:41 2020 Epoch 7, lr: 0.0001000, val loss: 96.00607, acc: 65.40000
Wed Oct 28 02:29:59 2020 Epoch 9, lr: 0.0001000, val loss: 89.91241, acc: 67.90000
Wed Oct 28 02:31:08 2020 Epoch 10, lr: 0.0001000, val loss: 88.34163, acc: 68.80000
Wed Oct 28 02:32:16 2020 Epoch 11, lr: 0.0001000, val loss: 86.33140, acc: 69.83000
Wed Oct 28 02:33:25 2020 Epoch 12, lr: 0.0001000, val loss: 83.79393, acc: 70.81000
Wed Oct 28 02:34:34 2020 Epoch 13, lr: 0.0001000, val loss: 82.32496, acc: 71.04000
Wed Oct 28 02:35:42 2020 Epoch 14, lr: 0.0001000, val loss: 82.08312, acc: 70.56000
Wed Oct 28 02:36:51 2020 Epoch 15, lr: 0.0001000, val loss: 77.11475, acc: 72.95000
Wed Oct 28 02:38:00 2020 Epoch 16, lr: 0.0001000, val loss: 76.48433, acc: 73.32000
Wed Oct 28 02:39:08 2020 Epoch 17, lr: 0.0001000, val loss: 75.59556, acc: 73.51000
Wed Oct 28 02:40:17 2020 Epoch 18, lr: 0.0001000, val loss: 74.29323, acc: 74.17000
Wed Oct 28 02:41:26 2020 Epoch 19, lr: 0.0001000, val loss: 73.56699, acc: 74.06000
Wed Oct 28 02:42:35 2020 Epoch 20, lr: 0.0001000, val loss: 72.80090, acc: 75.08000
Wed Oct 28 02:43:43 2020 Epoch 21, lr: 0.0001000, val loss: 75.17080, acc: 74.19000
